ncbi_gene_id,gene_symbol,pathway_sources
1,A1BG,R-HSA-114608|Platelet degranulation ; R-HSA-6798695|Neutrophil degranulation
2,A2M,R-HSA-114608|Platelet degranulation ; R-HSA-140837|Intrinsic Pathway of Fibrin Clot Formation ; R-HSA-1474228|Degradation of the extracellular matrix ; R-HSA-8963896|HDL assembly
9,NAT1,R-HSA-156582|Acetylation ; R-HSA-9753281|Paracetamol ADME
10,NAT2,R-HSA-156582|Acetylation ; R-HSA-9753281|Paracetamol ADME
12,SERPINA3,R-HSA-114608|Platelet degranulation ; R-HSA-6798695|Neutrophil degranulation
13,AADAC,R-HSA-211945|Phase I - Functionalization of compounds
14,AAMP,R-HSA-168638|NOD1/2 Signaling Pathway ; R-HSA-177929|Signaling by EGFR ; R-HSA-194138|Signaling by VEGF ; R-HSA-428930|Thromboxane signalling through TP receptor
15,AANAT,R-HSA-209931|Serotonin and melatonin biosynthesis
16,AARS1,R-HSA-379716|Cytosolic tRNA aminoacylation
18,ABAT,R-HSA-916853|Degradation of GABA
19,ABCA1,R-HSA-1989781|PPARA activates gene expression ; R-HSA-5682113|Defective ABCA1 causes TGD ; R-HSA-8963896|HDL assembly ; R-HSA-9029569|NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
20,ABCA2,R-HSA-1369062|ABC transporters in lipid homeostasis
21,ABCA3,R-HSA-1369062|ABC transporters in lipid homeostasis ; R-HSA-5683678|Defective ABCA3 causes SMDP3 ; R-HSA-5683826|Surfactant metabolism ; R-HSA-5688399|Defective ABCA3 causes SMDP3
22,ABCB7,R-HSA-1369007|Mitochondrial ABC transporters ; R-HSA-2564830|Cytosolic iron-sulfur cluster assembly
23,ABCF1,R-HSA-382556|ABC-family proteins mediated transport
24,ABCA4,R-HSA-2453902|The canonical retinoid cycle in rods (twilight vision) ; R-HSA-382556|ABC-family proteins mediated transport ; R-HSA-9918454|Defective visual phototransduction due to ABCA4 loss of function
